Device,Order,NSamples,NTraces,NLabels,Time
GPU,8,800,20000,8,0.02659
GPU,16,800,20000,8,0.05057
GPU,32,800,20000,8,0.09957
GPU,2,1600,20000,8,0.0297
GPU,4,1600,20000,8,0.03925
GPU,8,1600,20000,8,0.06112
GPU,16,1600,20000,8,0.10974
GPU,32,1600,20000,8,0.20515
GPU,2,100,20000,16,0.0018
GPU,4,100,20000,16,0.00291
GPU,8,100,20000,16,0.00529
GPU,16,100,20000,16,0.0101
GPU,32,100,20000,16,0.01975
GPU,2,200,20000,16,0.00367
GPU,4,200,20000,16,0.00584
GPU,8,200,20000,16,0.01062
GPU,16,200,20000,16,0.02025
GPU,32,200,20000,16,0.0399
GPU,2,400,20000,16,0.00993
GPU,4,400,20000,16,0.0147
GPU,8,400,20000,16,0.02448
GPU,16,400,20000,16,0.04425
GPU,32,400,20000,16,0.0857
GPU,2,800,20000,16,0.03084
GPU,4,800,20000,16,0.04014
GPU,8,800,20000,16,0.06068
GPU,16,800,20000,16,0.1013
GPU,32,800,20000,16,0.18284
GPU,2,1600,20000,16,0.08463
GPU,4,1600,20000,16,0.10279
GPU,8,1600,20000,16,0.14441
GPU,16,1600,20000,16,0.2194
GPU,32,1600,20000,16,0.38676
GPU,2,100,20000,32,0.00344
GPU,4,100,20000,32,0.0055
GPU,8,100,20000,32,0.00994
GPU,16,100,20000,32,0.01877
GPU,32,100,20000,32,0.04169
GPU,2,200,20000,32,0.01245
GPU,4,200,20000,32,0.01615
GPU,8,200,20000,32,0.02525
GPU,16,200,20000,32,0.04364
GPU,32,200,20000,32,0.09086
GPU,2,400,20000,32,0.03696
GPU,4,400,20000,32,0.0451
GPU,8,400,20000,32,0.06436
GPU,16,400,20000,32,0.10189
GPU,32,400,20000,32,0.19778
GPU,2,800,20000,32,0.10016
GPU,4,800,20000,32,0.11851
GPU,8,800,20000,32,0.15382
GPU,16,800,20000,32,0.23489
GPU,32,800,20000,32,0.42819
GPU,2,1600,20000,32,0.2576
GPU,4,1600,20000,32,0.28308
GPU,8,1600,20000,32,0.3514
GPU,16,1600,20000,32,0.49695
GPU,32,1600,20000,32,0.88752
GPU,2,100,20000,64,0.00995
GPU,4,100,20000,64,0.01433
GPU,8,100,20000,64,0.02319
GPU,16,100,20000,64,0.04249
GPU,32,100,20000,64,0.13343
GPU,2,200,20000,64,0.03289
GPU,4,200,20000,64,0.04151
GPU,8,200,20000,64,0.05987
GPU,16,200,20000,64,0.09892
GPU,32,200,20000,64,0.28554
GPU,2,400,20000,64,0.1012
GPU,4,400,20000,64,0.11914
GPU,8,400,20000,64,0.15551
GPU,16,400,20000,64,0.23479
GPU,32,400,20000,64,0.6287
GPU,2,800,20000,64,0.24646
GPU,4,800,20000,64,0.28733
GPU,8,800,20000,64,0.36364
GPU,16,800,20000,64,0.52183
GPU,32,800,20000,64,1.36
GPU,2,1600,20000,64,0.56627
GPU,4,1600,20000,64,0.65401
GPU,8,1600,20000,64,0.79687
GPU,16,1600,20000,64,1.11
GPU,32,1600,20000,64,2.79
GPU,2,100,20000,128,0.03095
GPU,4,100,20000,128,0.04
GPU,8,100,20000,128,0.05938
GPU,16,100,20000,128,0.11187
GPU,32,100,20000,128,0.66157
GPU,2,200,20000,128,0.09438
GPU,4,200,20000,128,0.11148
GPU,8,200,20000,128,0.15187
GPU,16,200,20000,128,0.26279
GPU,32,200,20000,128,1.35
GPU,2,400,20000,128,0.24635
GPU,4,400,20000,128,0.28444
GPU,8,400,20000,128,0.36732
GPU,16,400,20000,128,0.59861
GPU,32,400,20000,128,2.88
GPU,2,800,20000,128,0.57385
GPU,4,800,20000,128,0.6592
GPU,8,800,20000,128,0.82156
GPU,16,800,20000,128,1.32
GPU,32,800,20000,128,6.06
GPU,2,1600,20000,128,1.25
GPU,4,1600,20000,128,1.42
GPU,8,1600,20000,128,1.74
GPU,16,1600,20000,128,2.77
GPU,32,1600,20000,128,12.83
GPU,2,100,20000,256,0.09141
GPU,4,100,20000,256,0.1096
GPU,8,100,20000,256,0.15198
GPU,16,100,20000,256,0.45689
GPU,32,100,20000,256,1.9
GPU,2,200,20000,256,0.23561
GPU,4,200,20000,256,0.27601
GPU,8,200,20000,256,0.35937
GPU,16,200,20000,256,1.06
GPU,32,200,20000,256,4.04
GPU,2,400,20000,256,0.57579
GPU,4,400,20000,256,0.65982
GPU,8,400,20000,256,0.82105
GPU,16,400,20000,256,2.63
GPU,32,400,20000,256,8.44
GPU,2,800,20000,256,1.28
GPU,4,800,20000,256,1.46
GPU,8,800,20000,256,1.78
GPU,16,800,20000,256,5.76
GPU,32,800,20000,256,18.84
GPU,2,1600,20000,256,2.73
GPU,4,1600,20000,256,3.09
GPU,8,1600,20000,256,3.77
GPU,16,1600,20000,256,12.18
