Device,Time,Memory,Order,NSamples,NTraces,"NLabels, type"
CPU,0.115062230159091,77078144,2,100,500000,8 scalar label
CPU,0.0591343994,77078144,2,1000,10000,8 scalar label
CPU,0.120804475452381,77078144,2,1000,50000,8 scalar label
CPU,0.20390353888,77078144,2,1000,100000,8 scalar label
CPU,0.308070262058824,77078144,2,1000,200000,8 scalar label
CPU,0.596425387666667,77078144,2,1000,500000,8 scalar label
CPU,0.0811374020967742,77078144,2,2000,10000,8 scalar label
CPU,0.213602032791667,77078144,2,2000,50000,8 scalar label
CPU,0.3159434323125,77078144,2,2000,100000,8 scalar label
CPU,0.5010047882,77078144,2,2000,200000,8 scalar label
CPU,1.0985224068,77078144,2,2000,500000,8 scalar label
CPU,0.161321939290323,77078144,2,5000,10000,8 scalar label
CPU,0.373427358571429,77078144,2,5000,50000,8 scalar label
CPU,0.625903918875,77078144,2,5000,100000,8 scalar label
CPU,1.1220550466,77078144,2,5000,200000,8 scalar label
CPU,2.5995818915,77078144,2,5000,500000,8 scalar label
CPU,0.25316980555,77078144,2,10000,10000,8 scalar label
CPU,0.6757484015,77078144,2,10000,50000,8 scalar label
CPU,1.1734771774,77078144,2,10000,100000,8 scalar label
CPU,2.14645639366667,77078144,2,10000,200000,8 scalar label
CPU,5.084401092,77078144,2,10000,500000,8 scalar label
